
# mes "*Hiccup*...... *Hiccup*.......";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "*Hiccup*...... *Hiccup*......."
msgstr ""

# mes ".......................";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "......................."
msgstr ""

# mes "........Z.z..z...zzz...";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "........Z.z..z...zzz..."
msgstr ""

# mes "Heh heh... nice lad...";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "Heh heh... nice lad..."
msgstr ""

# mes "But you know *Hiccup*";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "But you know *Hiccup*"
msgstr ""

# mes "I can't give you any of mine! Heheheh...";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "I can't give you any of mine! Heheheh..."
msgstr ""

# mes "If you buy me a drink, I will think about it...Hehehe...*Hiccup*..";
#: npc/cities/amatsu.txt
msgctxt "Drunken Man#ama"
msgid "If you buy me a drink, I will think about it...Hehehe...*Hiccup*.."
msgstr ""

# mes "[Hatsue]";
#: npc/cities/amatsu.txt
msgctxt "Grandma#ama"
msgid "[Hatsue]"
msgstr ""

# mes "I'm worried about my husband.";
#: npc/cities/amatsu.txt
msgctxt "Grandma#ama"
msgid "I'm worried about my husband."
msgstr ""

# mes "He lost a lot of money in some distant town today.";
#: npc/cities/amatsu.txt
msgctxt "Grandma#ama"
msgid "He lost a lot of money in some distant town today."
msgstr ""

# mes "I got so mad at him, he ran off in";
#: npc/cities/amatsu.txt
msgctxt "Grandma#ama"
msgid "I got so mad at him, he ran off in"
msgstr ""

# mes "fear! I'm worried...what if he";
#: npc/cities/amatsu.txt
msgctxt "Grandma#ama"
msgid "fear! I'm worried...what if he"
msgstr ""

# mes "went to the bar and starts drinking again? The man just doesn't have any backbone. *Phew*";
#: npc/cities/amatsu.txt
msgctxt "Grandma#ama"
msgid "went to the bar and starts drinking again? The man just doesn't have any backbone. *Phew*"
msgstr ""

# mes "[Jyaburo]";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "[Jyaburo]"
msgstr ""

# mes "This place is special to me.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "This place is special to me."
msgstr ""

# mes "It's filled with memories of my wife.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "It's filled with memories of my wife."
msgstr ""

# mes "It was under that big tree where";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "It was under that big tree where"
msgstr ""

# mes "I first told her I loved her. At";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "I first told her I loved her. At"
msgstr ""

# mes "the time, I really didn't know that she also had feelings for me.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "the time, I really didn't know that she also had feelings for me."
msgstr ""

# mes "After that day, we had many";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "After that day, we had many"
msgstr ""

# mes "conversations here. Quiet";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "conversations here. Quiet"
msgstr ""

# mes "and peaceful, this was our";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "and peaceful, this was our"
msgstr ""

# mes "favorite place to be together.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "favorite place to be together."
msgstr ""

# mes "When I close my eyes here, I";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "When I close my eyes here, I"
msgstr ""

# mes "can picture our good times,";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
msgid "can picture our good times,"
msgstr ""

# mes "and it feels like it all happened yesterday.";
#: npc/cities/amatsu.txt
msgctxt "Jyaburo#ama"
